DATA, AA, ACAP, AEXP, B, CPLX, DOCU, ETAT, FLEX, KLOC, LTEX, PCAP, PCON, PLEX, PMAT, PR, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-
2.833, 3.814, 3.775, 3.196, 3.321, 4.983, 4.743, 1.154, 4.33, 417.324, 1.733, 4.53, 1.468, 3.542, 2.795, 4.488, 1.48, 2.778, 3.487, 2.304, 2.064, 3.0, 3.896, 3.761, 2.537, 3.071, 2.0, 1681.861, 35.764, 9129.079, 0.0
2.043, 3.734, 3.085, 2.794, 6.042, 5.751, 4.038, 1.695, 3.169, 274.095, 1.864, 3.778, 1.519, 1.242, 2.159, 1.735, 3.54, 3.409, 4.435, 3.716, 2.94, 3.0, 1.903, 3.766, 4.179, 3.872, 2.0, 2677.303, 39.89, 16726.547, 0.268
2.783, 3.26, 4.238, 1.403, 9.187, 3.732, 3.981, 5.942, 4.738, 329.266, 1.177, 4.304, 1.764, 3.158, 2.559, 3.425, 2.559, 2.715, 3.908, 4.807, 2.407, 3.0, 2.809, 3.498, 3.844, 3.543, 2.0, 1297.981, 30.71, 5623.142, 0.536
4.571, 1.01, 4.856, 1.11, 9.176, 5.054, 3.975, 3.188, 1.347, 98.538, 2.927, 3.913, 2.897, 1.194, 2.021, 3.599, 1.783, 3.191, 4.528, 2.934, 2.381, 3.0, 4.215, 3.973, 1.878, 3.051, 2.0, 897.698, 31.512, 5485.412, 1.609
3.75, 1.369, 3.282, 2.641, 3.646, 5.103, 3.339, 1.74, 3.665, 168.735, 3.787, 4.795, 2.595, 2.096, 2.695, 4.804, 4.228, 3.544, 4.791, 1.549, 2.138, 3.0, 2.864, 3.648, 2.577, 3.724, 2.0, 915.361, 29.432, 6636.269, 0.0
3.092, 4.7, 4.072, 1.497, 6.657, 3.69, 1.317, 4.047, 4.106, 343.573, 3.327, 4.873, 1.014, 1.559, 2.116, 1.402, 1.12, 3.829, 4.911, 4.304, 3.253, 3.0, 5.457, 3.429, 3.386, 3.116, 2.0, 1178.746, 31.885, 7277.642, 0.536
3.862, 1.335, 4.91, 4.261, 6.715, 4.26, 1.403, 5.224, 1.028, 54.729, 3.747, 4.651, 2.93, 2.341, 2.866, 2.597, 3.12, 4.772, 4.177, 2.574, 4.379, 3.0, 5.788, 3.18, 2.091, 3.106, 2.0, 188.251, 18.779, 1078.063, 0.0
4.789, 3.623, 3.995, 1.239, 6.91, 4.71, 2.38, 3.116, 1.228, 79.103, 2.473, 4.864, 3.933, 1.056, 2.31, 3.298, 2.245, 3.53, 4.797, 2.342, 2.84, 3.0, 4.887, 3.303, 1.82, 3.003, 2.0, 658.27, 28.039, 3532.474, 1.609
4.978, 2.503, 4.418, 3.033, 8.307, 4.047, 1.757, 2.066, 2.291, 186.197, 1.122, 3.142, 3.067, 2.788, 2.494, 2.063, 4.382, 2.036, 3.966, 1.139, 4.118, 3.0, 2.642, 3.64, 1.781, 3.353, 2.0, 1135.938, 32.403, 22781.927, 0.536
4.093, 3.632, 3.086, 3.946, 6.347, 3.708, 4.205, 1.538, 2.828, 395.835, 3.279, 4.508, 2.592, 1.433, 2.438, 5.971, 3.709, 3.025, 3.217, 4.661, 4.714, 3.0, 5.184, 3.205, 3.897, 3.342, 2.0, 1406.756, 32.654, 4983.582, 0.0
3.506, 2.058, 3.301, 4.92, 5.473, 5.16, 3.588, 3.097, 1.498, 336.015, 2.655, 4.884, 3.496, 2.395, 2.767, 2.029, 2.786, 2.06, 3.836, 3.2, 2.971, 3.0, 5.996, 3.83, 2.298, 3.751, 2.0, 1482.875, 34.732, 2950.657, 0.0
4.762, 3.006, 3.033, 1.484, 7.643, 5.736, 2.43, 5.41, 3.966, 388.868, 2.515, 4.79, 4.554, 1.479, 2.358, 5.026, 2.177, 2.891, 4.651, 1.407, 3.481, 3.0, 5.259, 3.163, 3.496, 3.812, 2.0, 1377.78, 33.738, 14115.293, 0.536
2.379, 5.781, 3.66, 1.611, 6.428, 3.002, 1.064, 5.684, 4.277, 318.331, 3.699, 4.608, 4.936, 1.636, 2.855, 1.461, 1.828, 4.997, 3.695, 2.924, 2.443, 3.0, 1.661, 3.645, 3.926, 3.159, 2.0, 787.558, 27.596, 5254.113, 0.536
