DATA, AA, ACAP, AEXP, B, CPLX, DOCU, ETAT, FLEX, KLOC, LTEX, PCAP, PCON, PLEX, PMAT, PR, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-
3.705, 2.705, 4.364, 4.374, 7.815, 1.004, 1.135, 1.8, 1.232, 251.03, 2.348, 4.111, 3.025, 2.831, 2.929, 1.579, 2.046, 4.137, 3.849, 1.119, 5.948, 3.0, 5.927, 3.979, 4.896, 3.265, 2.0, 467.071, 24.267, 6117.286, 1.072
2.68, 3.994, 3.08, 4.056, 3.937, 1.219, 4.565, 5.878, 3.552, 131.171, 1.092, 3.698, 3.131, 3.011, 2.467, 4.279, 1.05, 3.106, 3.14, 4.777, 2.48, 3.0, 2.398, 3.863, 4.295, 3.538, 2.0, 455.413, 23.317, 870.086, 0.268
4.781, 5.111, 3.767, 3.747, 4.536, 1.2, 1.437, 5.078, 3.472, 227.035, 1.082, 4.299, 3.358, 1.521, 2.766, 3.977, 2.392, 3.071, 2.307, 3.675, 2.098, 3.0, 5.473, 3.915, 4.177, 3.257, 2.0, 494.525, 23.882, 2499.249, 1.072
2.414, 1.311, 3.377, 2.037, 4.586, 1.281, 3.341, 1.984, 4.649, 177.6, 1.786, 4.56, 4.464, 3.371, 2.401, 1.539, 2.657, 2.002, 2.209, 1.986, 5.773, 3.0, 5.188, 3.962, 4.489, 3.964, 2.0, 442.166, 23.527, 4811.162, 1.072
2.079, 5.349, 4.427, 2.442, 5.549, 3.464, 2.362, 1.727, 4.604, 154.629, 1.665, 3.948, 2.984, 3.374, 2.756, 1.105, 3.936, 2.093, 3.44, 3.978, 2.643, 3.0, 5.287, 3.04, 1.964, 3.686, 2.0, 197.817, 17.843, 1334.983, 0.804
3.603, 4.852, 4.409, 2.959, 7.179, 3.494, 4.824, 4.181, 1.186, 167.557, 1.612, 3.506, 3.461, 2.398, 2.375, 2.255, 3.162, 3.392, 3.744, 3.413, 2.859, 3.0, 1.333, 3.196, 3.438, 3.766, 2.0, 1411.17, 33.875, 1998.647, 0.268
4.598, 3.694, 4.364, 4.608, 8.503, 3.464, 3.442, 3.389, 1.748, 300.251, 1.264, 3.554, 2.107, 1.119, 2.501, 4.048, 3.269, 3.797, 3.034, 4.561, 5.364, 3.0, 5.333, 3.801, 2.667, 3.07, 2.0, 1615.273, 34.897, 5685.778, 0.268
2.017, 3.912, 4.212, 4.503, 5.608, 3.057, 3.434, 2.113, 4.115, 204.959, 3.248, 3.357, 4.734, 2.862, 2.204, 3.689, 1.472, 4.205, 1.073, 1.564, 2.921, 3.0, 3.409, 3.944, 4.593, 3.068, 2.0, 439.31, 24.049, 2253.437, 1.609
2.35, 4.794, 3.006, 3.238, 6.619, 2.406, 4.749, 2.29, 2.132, 26.225, 3.412, 3.341, 2.134, 3.838, 2.136, 5.854, 3.192, 4.206, 1.907, 4.558, 5.859, 3.0, 3.185, 3.34, 3.428, 3.122, 2.0, 120.185, 15.54, 166.303, 1.072
4.198, 3.366, 3.512, 4.445, 8.831, 3.889, 3.984, 2.816, 1.26, 67.28, 2.251, 3.679, 2.001, 1.632, 2.306, 3.406, 3.535, 2.405, 1.752, 4.358, 5.897, 3.0, 2.115, 3.453, 3.87, 3.857, 2.0, 425.427, 23.135, 1726.273, 1.072
2.349, 4.544, 3.517, 4.186, 5.532, 1.004, 1.673, 2.442, 4.979, 345.597, 3.895, 4.83, 2.744, 3.38, 2.556, 5.077, 3.622, 3.455, 3.954, 1.212, 4.434, 3.0, 4.396, 3.474, 4.91, 3.181, 2.0, 325.465, 20.747, 957.187, 0.536
2.225, 4.1, 4.887, 4.984, 6.242, 2.946, 1.011, 4.155, 4.683, 390.52, 1.318, 3.933, 3.389, 1.167, 2.48, 2.965, 1.405, 2.559, 1.587, 4.466, 3.087, 3.0, 5.137, 3.9, 2.507, 3.413, 2.0, 285.626, 20.315, 5273.339, 1.877
2.278, 1.318, 3.831, 4.44, 3.246, 2.084, 4.801, 2.919, 2.846, 108.219, 1.899, 3.32, 2.537, 3.479, 2.616, 3.497, 2.273, 2.094, 1.536, 4.121, 5.341, 3.0, 4.418, 3.123, 3.276, 3.987, 2.0, 291.553, 20.794, 1394.53, 1.34
3.139, 1.209, 4.246, 3.395, 8.374, 3.123, 2.863, 1.969, 2.747, 311.196, 2.514, 4.862, 3.259, 3.177, 2.152, 4.206, 4.364, 3.154, 1.517, 1.521, 4.15, 3.0, 4.148, 3.963, 2.44, 3.051, 2.0, 766.784, 28.326, 8635.122, 2.145
2.884, 2.207, 4.387, 4.829, 4.692, 1.936, 2.493, 4.487, 1.413, 37.26, 3.058, 3.715, 4.471, 1.035, 2.048, 5.259, 3.036, 4.938, 2.818, 1.6, 3.689, 3.0, 3.253, 3.44, 2.348, 3.936, 2.0, 213.061, 19.818, 705.014, 1.072
2.733, 3.93, 3.533, 3.166, 5.536, 1.344, 3.227, 5.163, 4.266, 194.742, 3.286, 4.406, 3.673, 1.564, 2.209, 3.68, 1.538, 2.614, 1.655, 2.709, 2.735, 3.0, 4.651, 3.314, 1.326, 3.114, 2.0, 425.975, 23.456, 3544.835, 2.145
3.053, 1.381, 4.646, 3.689, 5.583, 3.59, 4.499, 2.894, 2.51, 342.059, 3.628, 4.567, 4.418, 3.401, 2.696, 3.264, 2.326, 4.232, 1.094, 3.905, 5.172, 3.0, 4.695, 3.51, 1.75, 3.904, 2.0, 716.489, 27.843, 5225.48, 2.145
4.971, 5.683, 3.687, 3.497, 8.167, 3.513, 3.83, 5.944, 1.864, 228.625, 3.88, 4.166, 3.759, 1.693, 2.085, 4.737, 3.733, 4.663, 2.663, 2.584, 3.462, 3.0, 2.786, 3.062, 4.86, 3.643, 2.0, 796.776, 27.842, 1089.161, 0.536
3.492, 3.759, 3.874, 2.575, 6.02, 1.296, 1.143, 1.825, 3.541, 349.974, 3.328, 3.933, 3.761, 1.021, 2.287, 3.087, 3.376, 3.171, 3.267, 2.038, 2.053, 3.0, 5.829, 3.132, 3.083, 3.631, 2.0, 825.066, 28.631, 7735.677, 0.0
3.698, 5.908, 3.459, 3.056, 8.398, 3.408, 3.305, 5.366, 1.638, 39.159, 2.504, 3.024, 2.669, 2.799, 2.69, 4.405, 4.686, 3.117, 2.842, 3.958, 5.377, 3.0, 2.273, 3.109, 3.202, 3.323, 2.0, 328.367, 21.098, 374.294, 0.0
3.945, 5.524, 3.291, 2.272, 5.147, 3.912, 1.4, 3.642, 3.392, 65.745, 2.724, 3.329, 3.638, 2.129, 2.841, 4.673, 1.659, 3.364, 2.147, 2.452, 4.096, 3.0, 3.014, 3.728, 4.095, 3.657, 2.0, 342.82, 21.854, 1905.646, 0.0
4.864, 4.425, 3.451, 4.013, 8.25, 1.902, 2.659, 3.756, 2.703, 337.686, 2.662, 3.638, 1.911, 1.108, 2.804, 3.096, 1.771, 2.828, 3.763, 3.39, 2.521, 3.0, 1.982, 3.129, 1.804, 3.134, 2.0, 2149.832, 38.723, 12656.708, 0.536
3.62, 4.628, 4.91, 4.686, 4.298, 2.929, 4.802, 2.642, 3.377, 272.272, 2.11, 4.499, 1.106, 1.555, 2.312, 5.966, 4.637, 4.413, 2.202, 2.905, 3.853, 3.0, 2.787, 3.042, 1.136, 3.858, 2.0, 2070.442, 38.02, 2371.469, 1.34
3.269, 4.317, 3.265, 3.843, 3.248, 1.442, 4.972, 5.056, 3.209, 264.624, 1.195, 4.957, 2.294, 1.763, 2.913, 5.818, 3.007, 4.848, 1.578, 1.627, 4.877, 3.0, 2.364, 3.208, 1.293, 3.152, 2.0, 959.053, 30.815, 5615.837, 2.413
