DATA, AA, ACAP, AEXP, B, CPLX, DOCU, ETAT, FLEX, KLOC, LTEX, PCAP, PCON, PLEX, PMAT, PR, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-
3.696, 5.603, 2.101, 2.903, 6.233, 5.128, 3.132, 3.928, 3.774, 86.299, 3.637, 3.0, 2.51, 3.0, 1.463, 3.917, 1.841, 2.0, 5.0, 2.87, 2.096, 1.812, 3.0, 3.92, 2.347, 4.686, 2.42, 851.378, 21.451, 4558.376, 5.362
4.184, 3.796, 2.695, 2.008, 9.378, 5.335, 2.437, 2.29, 4.062, 98.286, 2.562, 3.0, 2.128, 3.0, 2.831, 3.836, 1.053, 2.0, 5.0, 2.602, 2.635, 1.551, 3.0, 3.427, 2.376, 5.106, 2.188, 968.021, 21.535, 13396.558, 4.558
4.281, 1.215, 2.376, 2.761, 6.481, 5.119, 3.757, 3.877, 3.926, 103.323, 2.518, 3.0, 2.137, 3.0, 2.685, 4.258, 1.794, 2.0, 5.0, 1.117, 2.294, 2.745, 3.0, 3.349, 2.297, 3.062, 2.643, 869.726, 25.656, 7546.728, 1.072
2.779, 1.428, 2.192, 2.088, 7.109, 5.55, 3.891, 4.115, 4.486, 96.47, 2.06, 3.0, 2.775, 3.0, 2.591, 3.97, 1.82, 2.0, 5.0, 2.043, 2.185, 2.329, 3.0, 3.94, 2.262, 3.916, 2.77, 1144.544, 26.148, 8376.079, 1.072
2.219, 4.001, 2.887, 2.035, 5.99, 5.082, 2.74, 5.798, 2.389, 87.032, 3.843, 3.0, 2.755, 3.0, 1.014, 1.297, 1.516, 2.0, 5.0, 1.847, 3.488, 2.3, 3.0, 4.129, 2.54, 5.024, 2.86, 849.447, 25.018, 7012.416, 2.413
2.194, 5.233, 2.418, 2.398, 3.716, 5.425, 2.203, 5.637, 4.214, 99.151, 2.304, 3.0, 2.135, 3.0, 3.655, 5.978, 1.034, 2.0, 5.0, 1.154, 2.735, 2.167, 3.0, 4.233, 2.6, 3.588, 2.082, 637.237, 21.868, 4337.97, 1.072
2.051, 4.514, 2.602, 2.96, 7.921, 5.069, 3.954, 1.458, 4.367, 83.453, 2.954, 3.0, 2.362, 3.0, 2.953, 5.963, 1.396, 2.0, 5.0, 2.681, 3.436, 1.164, 3.0, 4.807, 2.563, 3.069, 2.036, 862.99, 20.105, 4108.269, 4.558
3.818, 5.422, 2.672, 2.904, 4.052, 5.579, 2.0, 4.671, 2.857, 107.445, 3.071, 3.0, 2.928, 3.0, 2.716, 3.489, 1.123, 2.0, 5.0, 1.827, 3.92, 2.92, 3.0, 3.697, 2.462, 4.404, 2.308, 779.468, 24.691, 6160.532, 1.072
3.348, 4.349, 2.768, 2.631, 9.796, 5.012, 3.174, 5.358, 4.167, 99.016, 2.868, 3.0, 2.41, 3.0, 3.727, 2.241, 1.734, 2.0, 5.0, 2.673, 3.271, 1.521, 3.0, 3.569, 2.919, 3.875, 2.959, 658.178, 18.607, 4753.53, 4.021
4.587, 4.015, 2.307, 2.424, 6.213, 5.825, 3.704, 5.502, 3.905, 106.21, 2.082, 3.0, 2.117, 3.0, 2.134, 1.572, 1.766, 2.0, 5.0, 2.661, 2.765, 2.836, 3.0, 3.142, 2.441, 4.716, 2.587, 808.961, 24.108, 8929.438, 1.072
2.313, 1.336, 2.171, 2.435, 5.806, 5.981, 2.729, 3.678, 4.979, 75.463, 3.957, 3.0, 2.361, 3.0, 1.194, 5.785, 1.271, 2.0, 5.0, 1.883, 3.292, 1.389, 3.0, 4.234, 2.026, 3.497, 2.753, 946.942, 21.553, 6841.771, 5.362
3.533, 3.052, 2.539, 2.522, 8.663, 5.977, 2.211, 1.196, 3.347, 85.25, 3.52, 3.0, 2.932, 3.0, 1.923, 5.021, 1.649, 2.0, 5.0, 2.83, 3.422, 2.909, 3.0, 4.75, 2.739, 5.779, 2.776, 760.401, 23.696, 7281.464, 2.413
3.046, 3.865, 2.961, 2.348, 7.852, 5.399, 2.712, 4.204, 4.897, 76.828, 3.872, 3.0, 2.399, 3.0, 3.329, 1.95, 1.126, 2.0, 5.0, 1.047, 2.927, 1.271, 3.0, 3.131, 2.214, 3.482, 2.728, 523.472, 17.401, 6648.371, 3.485
4.337, 4.111, 2.629, 2.028, 9.362, 5.775, 2.108, 3.555, 4.2, 100.063, 3.915, 3.0, 2.718, 3.0, 2.011, 3.391, 1.638, 2.0, 5.0, 1.047, 3.644, 2.807, 3.0, 3.673, 2.649, 4.181, 2.686, 927.141, 25.43, 8750.709, 1.072
4.721, 2.98, 2.195, 2.203, 9.733, 5.3, 3.689, 2.308, 3.749, 93.939, 2.624, 3.0, 2.98, 3.0, 2.416, 5.251, 1.658, 2.0, 5.0, 2.534, 3.98, 2.549, 3.0, 4.471, 2.336, 3.945, 2.954, 1389.766, 28.567, 6803.027, 1.072
2.562, 1.842, 2.954, 2.791, 7.157, 5.179, 2.306, 2.323, 4.966, 96.271, 2.797, 3.0, 2.912, 3.0, 1.609, 1.456, 1.967, 2.0, 5.0, 2.978, 2.493, 1.009, 3.0, 3.449, 2.854, 4.738, 2.665, 634.465, 18.868, 13435.046, 5.898
3.723, 3.026, 2.593, 2.994, 5.712, 5.208, 3.674, 3.644, 4.738, 81.65, 3.482, 3.0, 2.752, 3.0, 2.42, 3.324, 1.914, 2.0, 5.0, 1.321, 3.59, 1.152, 3.0, 4.654, 2.073, 5.441, 2.488, 866.796, 21.161, 9407.688, 4.021
2.702, 1.366, 2.192, 2.481, 9.931, 5.064, 2.168, 2.295, 2.703, 99.738, 3.707, 3.0, 2.503, 3.0, 1.871, 3.137, 1.202, 2.0, 5.0, 2.322, 2.491, 2.805, 3.0, 3.194, 2.507, 3.867, 2.383, 614.23, 23.191, 10812.11, 2.413
3.835, 2.736, 2.54, 2.416, 3.798, 5.145, 3.497, 1.696, 2.525, 107.64, 3.867, 3.0, 2.251, 3.0, 1.267, 2.364, 1.538, 2.0, 5.0, 1.633, 2.51, 2.614, 3.0, 3.35, 2.093, 4.521, 2.295, 854.882, 25.751, 14470.647, 2.413
3.9, 2.773, 2.317, 2.616, 7.896, 5.947, 3.459, 2.421, 3.052, 112.76, 3.338, 3.0, 2.123, 3.0, 1.046, 5.433, 1.898, 2.0, 5.0, 2.027, 2.899, 2.765, 3.0, 3.914, 2.434, 4.327, 2.227, 869.903, 26.026, 9354.653, 2.413
2.348, 3.727, 2.191, 2.124, 5.65, 5.992, 3.977, 1.169, 2.998, 118.239, 2.129, 3.0, 2.113, 3.0, 3.954, 5.446, 1.499, 2.0, 5.0, 2.508, 3.197, 1.077, 3.0, 3.58, 2.67, 3.028, 2.691, 1562.177, 25.345, 8857.191, 4.021
4.865, 1.967, 2.5, 2.277, 5.093, 5.815, 2.128, 5.379, 3.654, 118.14, 2.018, 3.0, 2.556, 3.0, 1.304, 2.86, 1.53, 2.0, 5.0, 2.231, 2.645, 1.003, 3.0, 3.913, 2.866, 5.688, 2.013, 2785.325, 30.668, 23351.794, 5.898
4.501, 1.88, 2.849, 2.857, 6.299, 5.723, 2.53, 5.962, 2.831, 122.185, 3.512, 3.0, 2.678, 3.0, 3.477, 2.459, 1.986, 2.0, 5.0, 2.905, 2.008, 2.851, 3.0, 4.194, 2.977, 5.506, 2.074, 994.601, 25.71, 5857.321, 1.072
3.266, 3.195, 2.701, 2.553, 7.475, 5.966, 2.072, 5.686, 3.431, 92.721, 3.9, 3.0, 2.669, 3.0, 2.166, 3.204, 1.292, 2.0, 5.0, 1.274, 3.279, 2.017, 3.0, 4.371, 2.454, 4.86, 2.512, 1260.454, 28.147, 8129.358, 1.072
2.135, 4.252, 2.047, 2.679, 9.157, 5.244, 2.264, 3.685, 4.235, 81.77, 3.703, 3.0, 2.929, 3.0, 2.88, 3.206, 1.705, 2.0, 5.0, 2.088, 3.055, 1.427, 3.0, 4.083, 2.555, 4.383, 2.676, 609.141, 18.605, 6056.31, 4.021
3.886, 4.247, 2.274, 2.514, 4.361, 5.723, 2.961, 4.476, 2.662, 108.477, 3.767, 3.0, 2.67, 3.0, 3.891, 1.279, 1.29, 2.0, 5.0, 2.171, 3.191, 2.167, 3.0, 3.734, 2.783, 4.263, 2.016, 1154.873, 26.619, 8248.81, 1.072
4.734, 3.32, 2.794, 2.824, 6.182, 5.445, 3.116, 4.629, 4.438, 95.975, 3.568, 3.0, 2.723, 3.0, 3.107, 1.069, 1.931, 2.0, 5.0, 2.924, 3.336, 1.343, 3.0, 3.125, 2.678, 3.929, 2.835, 942.071, 21.285, 6434.966, 3.485
4.172, 4.48, 2.081, 2.51, 5.686, 5.971, 2.333, 5.115, 3.712, 75.747, 3.334, 3.0, 2.565, 3.0, 2.411, 5.974, 1.578, 2.0, 5.0, 1.375, 3.784, 1.792, 3.0, 4.643, 2.065, 5.967, 2.048, 1513.664, 25.027, 6293.609, 4.021
4.517, 4.464, 2.286, 2.584, 4.479, 5.045, 3.702, 4.639, 4.599, 101.348, 2.179, 3.0, 2.96, 3.0, 2.053, 2.431, 1.556, 2.0, 5.0, 1.494, 2.436, 1.744, 3.0, 3.891, 2.341, 4.997, 2.541, 1381.403, 25.493, 10532.594, 4.558
2.95, 5.912, 2.304, 2.162, 6.59, 5.7, 3.94, 4.866, 3.068, 103.453, 2.033, 3.0, 2.514, 3.0, 2.486, 4.16, 1.009, 2.0, 5.0, 1.322, 3.927, 1.546, 3.0, 4.989, 2.223, 5.167, 2.533, 1735.642, 27.077, 10961.362, 4.558
4.3, 2.248, 2.057, 2.239, 9.203, 5.847, 3.37, 1.735, 2.364, 78.141, 2.893, 3.0, 2.438, 3.0, 2.45, 5.385, 1.728, 2.0, 5.0, 2.067, 3.388, 1.86, 3.0, 3.478, 2.076, 3.436, 2.015, 1004.037, 22.042, 8346.369, 4.558
2.401, 1.754, 2.049, 2.114, 3.022, 5.702, 2.803, 5.21, 2.769, 120.014, 2.588, 3.0, 2.419, 3.0, 1.163, 1.56, 1.37, 2.0, 5.0, 2.44, 3.582, 2.693, 3.0, 3.74, 2.593, 5.281, 2.048, 1448.743, 29.962, 20132.181, 2.413
