Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
3,1,4,1,7.835102979,4.33936051
3,1,1,1,7.836833049,4.309193816
3,1,2,100,9.965784285,5.066154451
4,0,4,20,7.958239493,5.096536076
4,0,1,20,7.958239493,5.096536076
4,0,2,20,7.958239493,5.096536076
4,0,3,20,7.958239493,5.096536076
4,0,4,5,7.075885561,5.041577674
4,0,1,5,7.075885561,5.041574063
4,0,2,5,7.075885561,5.041577674
4,0,3,5,7.075885561,5.041577674
4,0,4,50,8.900257005,5.101620629
4,0,1,50,8.900257005,5.101620629
3,1,3,100,9.965784285,5.066154451
4,0,2,50,8.900257005,5.101620629
4,0,3,50,8.900257005,5.101620629
5,1,4,1,6.951937423,4.79503586
5,1,1,1,6.9502351,4.792766697
5,1,2,1,6.951937423,4.79503586
5,1,3,1,6.951937423,4.79503586
5,1,4,10,7.578983985,5.093914226
5,1,1,10,7.578999076,5.093870967
5,1,2,10,7.578983985,5.093912551
5,1,3,10,7.578983985,5.093914276
3,1,4,2,7.881933754,4.679288806
5,1,4,100,9.766851864,5.117965171
5,1,1,100,9.766851864,5.117965171
5,1,2,100,9.766851864,5.117965171
5,1,3,100,9.766851864,5.117965171
5,1,4,2,7.035667894,4.953555274
5,1,1,2,7.035777848,4.952769374
5,1,2,2,7.035667894,4.953555274
5,1,3,2,7.035667894,4.953555274
5,1,4,20,8.059182199,5.107607992
5,1,1,20,8.059182199,5.107607992
3,1,1,2,7.882967008,4.667403539
5,1,2,20,8.059182199,5.107607992
5,1,3,20,8.059182199,5.107607992
5,1,4,5,7.2638701,5.058114363
5,1,1,5,7.263907648,5.057963691
5,1,2,5,7.2638701,5.058114363
5,1,3,5,7.2638701,5.058114363
5,1,4,50,8.947271652,5.114503927
5,1,1,50,8.947271652,5.114503927
5,1,2,50,8.947271652,5.114503927
5,1,3,50,8.947271652,5.114503927
3,1,2,2,7.881933754,4.679288806
5,0,4,1,6.415403762,4.837142461
5,0,1,1,6.415403762,4.83712609
5,0,2,1,6.415403762,4.837142461
5,0,3,1,6.415403762,4.837142461
5,0,4,10,7.256642729,5.099033291
5,0,1,10,7.256642729,5.099033588
5,0,2,10,7.256642729,5.099031659
5,0,3,10,7.256642729,5.09903161
5,0,4,100,9.702370112,5.117968127
5,0,1,100,9.702370112,5.117968127
3,1,3,2,7.881933754,4.679288806
5,0,2,100,9.702370112,5.117968127
5,0,3,100,9.702370112,5.117968127
